snr_db,pe,ber,se,sinr_db,crlb_R,crlb_v,type
-12.0,0.008435324218643497,0.34220607331008623,0.0443521880758076,-12.196411838678351,4.22256419906051,73.63567590437552,sweep
-12.0,0.0065806714962476955,0.3459772681378702,0.03492622127381602,-13.261305830745084,4.22256419906051,73.63567590437552,sweep
-12.0,0.05547458255385124,0.34013883908436404,0.04995919466600018,-11.66316623935301,4.22256419906051,73.63567590437552,sweep
-12.0,0.007166544418974185,0.34913455074192423,0.0278532181248152,-14.264486062683552,4.22256419906051,73.63567590437552,sweep
-12.0,0.009487150035014866,0.3415896194147714,0.04599203971759937,-12.03398752882672,4.22256419906051,73.63567590437552,sweep
-12.0,0.03371616163729446,0.3448855779202809,0.037546699068212654,-12.939531536029644,4.22256419906051,73.63567590437552,sweep
-12.0,0.07406300036672386,0.3401787099890161,0.04984815727705402,-11.673151278742901,4.22256419906051,73.63567590437552,sweep
-12.0,0.043496419788066835,0.3385190394425094,0.054565334022297345,-11.266794912550733,4.22256419906051,73.63567590437552,sweep
-12.0,0.02847928242405705,0.3353003504808732,0.06426016044270373,-10.528387095126295,4.22256419906051,73.63567590437552,sweep
-12.0,0.02618181517289635,0.339885373203093,0.050667720221614,-11.599953094936906,4.22256419906051,73.63567590437552,sweep
-9.0,0.018576189748155673,0.3296979765495265,0.082791065316629,-9.373983808337053,2.989346524016271,52.13006633677929,sweep
